"objectid","beeld","band","npixels","mean","sd","median","max","min","q05","q10","q90","q95"
"1576558","lc8x_l1gt_2015080_2217_2017101_xxxx_tct","1","31","14042.1290322581","987.505906883109","13685","16571","12931","13059","13072","15058","16145"
"1576558","lc8x_l1gt_2015080_2217_2017101_xxxx_tct","2","31","11379.8064516129","162.742827666811","11334","11704","11027","11114.5","11237","11610","11667.5"
"1576558","lc8x_l1gt_2015080_2217_2017101_xxxx_tct","3","31","10070.6774193548","353.042054822252","10092","11116","9480","9529","9646","10417","10619.5"
"1576558","lc8x_l1tp_2015071_0504_2017102_xxxx_tct","1","29","13721.6896551724","226.73444244129","13701","14114","13273","13463","13485.8","14049.8","14081.8"
"1576558","lc8x_l1tp_2015071_0504_2017102_xxxx_tct","2","29","11719.6551724138","377.825098979302","11657","12379","11097","11163.8","11260.4","12220.2","12349.4"
"1576558","lc8x_l1tp_2015071_0504_2017102_xxxx_tct","3","29","9984.72413793103","218.33851445989","10024","10334","9598","9619","9691.6","10231.4","10317.6"
"1576558","lc8x_l1tp_2015103_2354_2017099_xxxx_tct","1","29","17778.7931034483","76.8688025656818","17770","17907","17643","17663","17675.4","17878.6","17903.4"
"1576558","lc8x_l1tp_2015103_2354_2017099_xxxx_tct","2","29","12006.9655172414","64.4894691063259","11989","12122","11907","11920.2","11930.4","12106.4","12121.2"
"1576558","lc8x_l1tp_2015103_2354_2017099_xxxx_tct","3","29","6065.06896551724","28.6118494864363","6064","6116","6000","6027.6","6030","6098.2","6111.6"
"1576558","lc8x_l1tp_2015119_1344_2017099_xxxx_tct","1","29","20538.5517241379","101.661759282892","20564","20672","20296","20360.4","20408.4","20649","20665.8"
"1576558","lc8x_l1tp_2015119_1344_2017099_xxxx_tct","2","29","14519.6206896552","39.6506294249297","14530","14580","14413","14447.4","14469.4","14560.8","14567.6"
"1576558","lc8x_l1tp_2015119_1344_2017099_xxxx_tct","3","29","12370.1379310345","29.0820564928311","12378","12421","12316","12322.4","12327","12401","12412.2"
"1576558","lc8x_l1tp_2015128_0839_2017099_xxxx_tct","1","31","14828.5483870968","937.244466106529","15093","16037","12606","13211","13371","15797","15905.5"
"1576558","lc8x_l1tp_2015128_0839_2017099_xxxx_tct","2","31","13026.935483871","1062.54631069219","12754","14820","11338","11557.5","11744","14499","14664"
"1576558","lc8x_l1tp_2015128_0839_2017099_xxxx_tct","3","31","9674.09677419355","727.395827814939","9711","11272","8550","8670","8761","10647","10947.5"
"1576558","lc8x_l1tp_2015135_0317_2017099_xxxx_tct","1","29","24446.5517241379","449.042519956701","24458","25237","23416","23718","23886","25055.2","25115.4"
"1576558","lc8x_l1tp_2015135_0317_2017099_xxxx_tct","2","29","12972.2413793103","55.9493745480257","12987","13093","12878","12891","12894","13037","13054.8"
"1576558","lc8x_l1tp_2015135_0317_2017099_xxxx_tct","3","29","13561.3448275862","271.734281430285","13650","13893","13048","13132.6","13213.4","13868.6","13877.6"
"1576558","lc8x_l1tp_2015167_2306_2017097_xxxx_tct","1","29","14512.4482758621","106.234103418178","14527","14684","14204","14377","14397.4","14629.4","14668.6"
"1576558","lc8x_l1tp_2015167_2306_2017097_xxxx_tct","2","29","12452.3793103448","246.684647416364","12485","12875","11928","11995.6","12140.4","12757.8","12808.8"
