"objectid","beeld","band","npixels","mean","sd","median","max","min","q05","q10","q90","q95"
1578117,"lc8x_l1gt_2015080_2217_2017101_xxxx_tct",1,249,19092.313253012,781.732282277184,19111,20911,16600,17810.2,18052.6,19970.8,20125
1578117,"lc8x_l1gt_2015080_2217_2017101_xxxx_tct",2,249,11864.7228915663,127.086963487131,11897,12083,11546,11613.8,11680,12008,12036.8
1578117,"lc8x_l1gt_2015080_2217_2017101_xxxx_tct",3,249,12676.7510040161,496.21950853854,12746,13621,10959,11690.6,11999.8,13229.4,13355.4
1578117,"lc8x_l1tp_2015071_0504_2017102_xxxx_tct",1,242,13751.4917355372,211.801700919346,13739.5,14233,13181,13379.35,13472,14043.4,14108.85
1578117,"lc8x_l1tp_2015071_0504_2017102_xxxx_tct",2,242,11646.6487603306,216.819571859174,11668.5,12370,10923,11298.25,11363.3,11902.9,11973.6
1578117,"lc8x_l1tp_2015071_0504_2017102_xxxx_tct",3,242,10033.0537190083,121.817840704522,10021,10491,9753,9864.1,9891,10213.7,10270.4
1578117,"lc8x_l1tp_2015103_2354_2017099_xxxx_tct",1,242,17355.6859504132,63.8620184080574,17350.5,17498,17230,17260.1,17271.1,17446.8,17466.9
1578117,"lc8x_l1tp_2015103_2354_2017099_xxxx_tct",2,242,11829.7396694215,54.0439577951516,11825.5,11944,11666,11747.05,11766.2,11906,11918.95
1578117,"lc8x_l1tp_2015103_2354_2017099_xxxx_tct",3,242,6214.19421487603,36.1063362619456,6216.5,6287,6118,6159,6169,6265,6269.95
1578117,"lc8x_l1tp_2015119_1344_2017099_xxxx_tct",1,242,15542.5909090909,162.510701849963,15541,15851,15071,15269.3,15347.1,15764.8,15793.35
1578117,"lc8x_l1tp_2015119_1344_2017099_xxxx_tct",2,242,12709.3140495868,249.385320123451,12795,13032,11990,12290.05,12340,12974.9,12990.75
1578117,"lc8x_l1tp_2015119_1344_2017099_xxxx_tct",3,242,11241.1033057851,104.972836189055,11209,11635,11078,11116,11137.2,11387,11429.95
1578117,"lc8x_l1tp_2015128_0839_2017099_xxxx_tct",1,249,14948.7389558233,298.287126451964,14985,15538,14006,14390.4,14564.2,15347.6,15411.4
1578117,"lc8x_l1tp_2015128_0839_2017099_xxxx_tct",2,249,13200.3052208835,370.612259358954,13348,13655,11965,12455,12624.2,13560.4,13596.2
1578117,"lc8x_l1tp_2015128_0839_2017099_xxxx_tct",3,249,9862.58634538153,178.647995862542,9798,10696,9644,9678,9692.8,10128,10206
1578117,"lc8x_l1tp_2015135_0317_2017099_xxxx_tct",1,242,19341.5950413223,2104.40440151615,19839,22546,13066,15309.55,16381.7,21666.2,21983.25
1578117,"lc8x_l1tp_2015135_0317_2017099_xxxx_tct",2,242,12253.3429752066,235.818118015712,12244,13196,11426,11932.3,12027.3,12482.1,12709.95
1578117,"lc8x_l1tp_2015135_0317_2017099_xxxx_tct",3,242,11852.8925619835,602.664943440657,11900.5,13009,10252,10828.75,10964.7,12600.8,12732.65
1578117,"lc8x_l1tp_2015167_2306_2017097_xxxx_tct",1,242,16860.4214876033,626.797806043423,16635.5,19007,15807,16232.7,16349.6,17903.2,18312.75
1578117,"lc8x_l1tp_2015167_2306_2017097_xxxx_tct",2,242,12155.8181818182,163.445220942561,12114,12498,11822,11936.15,11974.2,12394.9,12445.5
1578117,"lc8x_l1tp_2015167_2306_2017097_xxxx_tct",3,242,10652.9917355372,275.505721212903,10564,11671,10403,10440,10454,11120.6,11379
1578117,"lc8x_l1tp_2015176_1538_2017097_xxxx_tct",1,250,13978.652,232.454432413311,14054,14486,12645,13687.8,13723.9,14219.1,14255.65
1578117,"lc8x_l1tp_2015176_1538_2017097_xxxx_tct",2,250,14223.508,671.182162992789,14487.5,15198,12587,13251.55,13393.2,14943.4,14982
1578117,"lc8x_l1tp_2015176_1538_2017097_xxxx_tct",3,250,9331.72,364.8197244192,9180,10448,8785,8920.25,8947.9,9771.2,9857.05
1578117,"lc8x_l1tp_2015183_0501_2017097_xxxx_tct",1,242,14144.367768595,209.116083513946,14207,14469,13255,13836.85,13888.4,14367,14396
1578117,"lc8x_l1tp_2015183_0501_2017097_xxxx_tct",2,242,12636.7231404959,945.465189790428,12076.5,14125,11650,11672.15,11736.1,13923.5,13953
1578117,"lc8x_l1tp_2015183_0501_2017097_xxxx_tct",3,242,10035.9462809917,375.125385962588,10216.5,10601,9417,9503.5,9523.3,10395.9,10404.95
1578117,"lc8x_l1tp_2015192_0632_2017097_xxxx_tct",1,250,15513.776,528.024192642784,15293.5,16603,13504,15100.8,15122.9,16454.8,16509.2
1578117,"lc8x_l1tp_2015192_0632_2017097_xxxx_tct",2,250,11722.236,277.100224542975,11688,12750,11161,11374.8,11436.2,11965.2,12408.55
1578117,"lc8x_l1tp_2015192_0632_2017097_xxxx_tct",3,250,9665.576,235.010100235823,9760.5,10500,9097,9310.35,9339.9,9881.2,9915.75
1578117,"lc8x_l1tp_2015199_2352_2017096_xxxx_tct",1,242,17239.2727272727,2229.73038952213,16733,22740,12792,14499.95,14842.9,20706.4,21357.4
1578117,"lc8x_l1tp_2015199_2352_2017096_xxxx_tct",2,242,12064.2438016529,622.497148306896,11995,13476,10828,11162.55,11243.6,13002.8,13183.25
1578117,"lc8x_l1tp_2015199_2352_2017096_xxxx_tct",3,242,10039.2231404959,441.888684798278,10027,11044,9318,9405.95,9488,10666.8,10783.4
1578117,"lc8x_l1tp_2015215_1042_2017096_xxxx_tct",1,242,13987.7933884298,131.932550185424,13992.5,14240,13334,13749.5,13840.3,14127.7,14154.95
1578117,"lc8x_l1tp_2015215_1042_2017096_xxxx_tct",2,242,12918.5991735537,843.711962707601,12381,14366,12022,12106,12134,14204.8,14258.95
1578117,"lc8x_l1tp_2015215_1042_2017096_xxxx_tct",3,242,9912.83884297521,158.295389548094,9983,10309,9593,9639.05,9656.2,10050,10066.95
1578117,"lc8x_l1tp_2015224_0543_2017096_xxxx_tct",1,250,16535.796,62.7196412425196,16541.5,16669,16396,16422.9,16445.6,16613,16633.55
1578117,"lc8x_l1tp_2015224_0543_2017096_xxxx_tct",2,250,14360.968,41.8309729409771,14364,14457,14257,14284.45,14305.7,14412,14422.55
1578117,"lc8x_l1tp_2015224_0543_2017096_xxxx_tct",3,250,6694.736,40.9801879843043,6692,6788,6596,6638,6644,6756,6768
1578117,"lc8x_l1tp_2015240_1826_2017095_xxxx_tct",1,250,15813.556,1206.26976828549,16080,19343,11725,13769.15,14648,16783.1,17544.85
1578117,"lc8x_l1tp_2015240_1826_2017095_xxxx_tct",2,250,13470.46,662.30412001554,13561,14394,11668,12283.1,12533.8,14179.1,14209.3
1578117,"lc8x_l1tp_2015240_1826_2017095_xxxx_tct",3,250,9231.42,807.627237417408,9095,12316,8257,8401.7,8433.9,10422.9,10806.7
1578117,"lc8x_l1tp_2015247_1510_2017094_xxxx_tct",1,242,23469.6900826446,1695.30255045452,23413.5,28171,19374,20680.05,21241.8,25573.9,25977.1
1578117,"lc8x_l1tp_2015247_1510_2017094_xxxx_tct",2,242,13686.6570247934,190.741015494679,13650,14241,13224,13405.45,13493.8,13952,14083.55
1578117,"lc8x_l1tp_2015247_1510_2017094_xxxx_tct",3,242,13708.1652892562,685.527447502864,13676.5,15474,11794,12577.35,12829.3,14596.7,14805.95
1578117,"lc8x_l1tp_2015256_0704_2017094_xxxx_tct",1,250,13724.552,204.335359280299,13809,14005,13130,13412.3,13440.9,13954,13974.2
1578117,"lc8x_l1tp_2015256_0704_2017094_xxxx_tct",2,250,12665.724,283.696964549815,12749.5,13106,11824,12170.9,12305.2,12990.4,13023.1
