"outlier","date","value","perceel","band","sd","nr_beelden"
0,2017.22950819672,"mut_high",876304,1,1.5,23
0,2017.35792349727,"mut_high",876304,1,1.5,23
0,2017.65846994536,"mut_high",876304,1,1.5,23
0,2017.24590163934,"mut_high",876304,1,1.5,23
0,2017.27049180328,"mut_high",876304,1,1.5,23
0,2017.38797814208,"mut_high",876304,1,1.5,23
0,2017.41256830601,"mut_high",876304,1,1.5,23
0,2017.22131147541,"mut_high",876304,1,1.5,23
0,2017.41530054645,"mut_high",876304,1,1.5,23
0,2017.51912568306,"mut_high",876304,1,1.5,23
0,2017.59836065574,"mut_high",876304,1,1.5,23
0,2017.67486338798,"mut_high",876304,1,1.5,23
0,2017.31420765027,"mut_high",876304,1,1.5,23
NA,2016.27049180328,"mut_high",876304,1,1.5,23
1,2016.57103825137,"mut_high",876304,1,1.5,23
NA,2016.59836065574,"mut_high",876304,1,1.5,23
NA,2016.65300546448,"mut_high",876304,1,1.5,23
0,2016.70765027322,"mut_high",876304,1,1.5,23
0,2016.77049180328,"mut_high",876304,1,1.5,23
0,2016.81693989071,"mut_high",876304,1,1.5,23
0,2017.50819672131,"mut_high",876304,1,1.5,23
0,2017.6912568306,"mut_high",876304,1,1.5,23
0,2017.69945355191,"mut_high",876304,1,1.5,23
0,2017.22950819672,"mut_low",876304,1,1.5,23
0,2017.35792349727,"mut_low",876304,1,1.5,23
0,2017.65846994536,"mut_low",876304,1,1.5,23
0,2017.24590163934,"mut_low",876304,1,1.5,23
1,2017.27049180328,"mut_low",876304,1,1.5,23
0,2017.38797814208,"mut_low",876304,1,1.5,23
0,2017.41256830601,"mut_low",876304,1,1.5,23
0,2017.22131147541,"mut_low",876304,1,1.5,23
0,2017.41530054645,"mut_low",876304,1,1.5,23
0,2017.51912568306,"mut_low",876304,1,1.5,23
0,2017.59836065574,"mut_low",876304,1,1.5,23
0,2017.67486338798,"mut_low",876304,1,1.5,23
0,2017.31420765027,"mut_low",876304,1,1.5,23
NA,2016.27049180328,"mut_low",876304,1,1.5,23
0,2016.57103825137,"mut_low",876304,1,1.5,23
NA,2016.59836065574,"mut_low",876304,1,1.5,23
NA,2016.65300546448,"mut_low",876304,1,1.5,23
