"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
1,1,0,0,1.5,2016,3,"difmax",16,865447
0,0,0,0,0.5,2016,3,"difmax",23,876304
0,0,0,0,0.5,2016,3,"difmax",68,877219
2,0,0,0,1,2016,3,"difmax",21,879606
0,0,0,0,0.5,2016,3,"difmax",71,1576558
2,1,1,1,2.5,2016,3,"difmax",73,1578117
0,0,0,0,0.5,2016,3,"difmax",73,1584957
1,1,1,0,2,2016,3,"difmax",67,1590448
1,1,1,0,2,2016,3,"difmax",74,1591636
1,0,0,0,1,2016,3,"difmax",73,1750897
1,0,0,0,1,2016,3,"difmax",75,1787658
0,0,0,0,0.5,2016,3,"difmax",72,1788190
1,1,0,0,1.5,2016,3,"difmax",72,1793705
0,0,0,0,0.5,2016,3,"difmax",72,1800413
