"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
0,0,0,0,0.5,2017,1,"difmin",16,865447
1,0,0,0,1,2017,1,"difmin",9,876228
0,0,0,0,0.5,2017,1,"difmin",9,876229
2,0,0,0,1,2017,1,"difmin",23,876304
5,5,3,0,2,2017,1,"difmin",68,877219
1,1,0,0,1.5,2017,1,"difmin",9,877724
0,0,0,0,0.5,2017,1,"difmin",21,879606
0,0,0,0,0.5,2017,1,"difmin",6,879844
7,5,1,0,2,2017,1,"difmin",71,1576558
0,0,0,0,0.5,2017,1,"difmin",73,1578117
6,2,1,1,2.5,2017,1,"difmin",73,1584957
6,3,1,0,2,2017,1,"difmin",67,1590448
4,1,1,1,2.5,2017,1,"difmin",74,1591636
6,1,0,0,1.5,2017,1,"difmin",73,1750897
2,0,0,0,1,2017,1,"difmin",75,1787658
6,5,2,0,2,2017,1,"difmin",72,1788190
4,3,2,1,2.5,2017,1,"difmin",72,1793705
5,3,0,0,1.5,2017,1,"difmin",72,1800413
