"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
1,0,0,0,1,2016,3,"max90",16,865447
1,1,0,0,1.5,2016,3,"max90",23,876304
0,0,0,0,0.5,2016,3,"max90",68,877219
2,2,1,0,2,2016,3,"max90",21,879606
3,1,1,0,2,2016,3,"max90",71,1576558
2,2,2,2,2.5,2016,3,"max90",73,1578117
3,1,0,0,1.5,2016,3,"max90",73,1584957
3,3,2,2,2.5,2016,3,"max90",67,1590448
0,0,0,0,0.5,2016,3,"max90",74,1591636
3,2,1,1,2.5,2016,3,"max90",73,1750897
0,0,0,0,0.5,2016,3,"max90",75,1787658
1,1,0,0,1.5,2016,3,"max90",72,1788190
2,1,1,1,2.5,2016,3,"max90",72,1793705
1,0,0,0,1,2016,3,"max90",72,1800413
