"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
1,1,1,0,2,2017,3,"mut_high",16,865447
1,0,0,0,1,2017,3,"mut_high",9,876228
1,0,0,0,1,2017,3,"mut_high",9,876229
0,0,0,0,0.5,2017,3,"mut_high",23,876304
1,1,0,0,1.5,2017,3,"mut_high",68,877219
1,0,0,0,1,2017,3,"mut_high",9,877724
0,0,0,0,0.5,2017,3,"mut_high",21,879606
1,0,0,0,1,2017,3,"mut_high",6,879844
1,1,1,1,2.5,2017,3,"mut_high",71,1576558
0,0,0,0,0.5,2017,3,"mut_high",73,1578117
1,1,0,0,1.5,2017,3,"mut_high",73,1584957
1,0,0,0,1,2017,3,"mut_high",67,1590448
3,1,1,1,2.5,2017,3,"mut_high",74,1591636
2,1,1,1,2.5,2017,3,"mut_high",73,1750897
2,2,2,2,2.5,2017,3,"mut_high",75,1787658
7,5,1,1,2.5,2017,3,"mut_high",72,1788190
3,1,0,0,1.5,2017,3,"mut_high",72,1793705
2,2,1,1,2.5,2017,3,"mut_high",72,1800413
