"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
1,0,0,0,1,2017,2,"mut_low",16,865447
0,0,0,0,0.5,2017,2,"mut_low",9,876228
1,0,0,0,1,2017,2,"mut_low",9,876229
2,0,0,0,1,2017,2,"mut_low",23,876304
3,3,2,2,2.5,2017,2,"mut_low",68,877219
1,1,0,0,1.5,2017,2,"mut_low",9,877724
0,0,0,0,0.5,2017,2,"mut_low",21,879606
0,0,0,0,0.5,2017,2,"mut_low",6,879844
7,3,0,0,1.5,2017,2,"mut_low",71,1576558
3,2,1,0,2,2017,2,"mut_low",73,1578117
6,3,1,1,2.5,2017,2,"mut_low",73,1584957
3,3,1,1,2.5,2017,2,"mut_low",67,1590448
4,3,3,1,2.5,2017,2,"mut_low",74,1591636
5,1,0,0,1.5,2017,2,"mut_low",73,1750897
4,0,0,0,1,2017,2,"mut_low",75,1787658
6,5,4,1,2.5,2017,2,"mut_low",72,1788190
4,2,1,1,2.5,2017,2,"mut_low",72,1793705
6,2,1,1,2.5,2017,2,"mut_low",72,1800413
