"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel","mutlike"
2,2,2,1,2.5,2015,1,"difmax",68,877219,5
0,0,0,0,0.5,2015,1,"difmax",71,1576558,0
1,1,0,0,1.5,2015,1,"difmax",73,1578117,1.5
1,1,0,0,1.5,2015,1,"difmax",73,1584957,1.5
2,0,0,0,1,2015,1,"difmax",67,1590448,0
1,0,0,0,1,2015,1,"difmax",74,1591636,0
0,0,0,0,0.5,2015,1,"difmax",73,1750897,0
0,0,0,0,0.5,2015,1,"difmax",75,1787658,0
0,0,0,0,0.5,2015,1,"difmax",72,1788190,0
2,1,0,0,1.5,2015,1,"difmax",72,1793705,1.5
1,1,0,0,1.5,2015,1,"difmax",72,1800413,1.5
1,0,0,0,1,2015,2,"difmax",68,877219,0
0,0,0,0,0.5,2015,2,"difmax",71,1576558,0
0,0,0,0,0.5,2015,2,"difmax",73,1578117,0
0,0,0,0,0.5,2015,2,"difmax",73,1584957,0
1,0,0,0,1,2015,2,"difmax",67,1590448,0
2,1,0,0,1.5,2015,2,"difmax",74,1591636,1.5
0,0,0,0,0.5,2015,2,"difmax",73,1750897,0
1,0,0,0,1,2015,2,"difmax",75,1787658,0
1,0,0,0,1,2015,2,"difmax",72,1788190,0
0,0,0,0,0.5,2015,2,"difmax",72,1793705,0
0,0,0,0,0.5,2015,2,"difmax",72,1800413,0
1,1,1,0,2,2015,3,"difmax",68,877219,2
0,0,0,0,0.5,2015,3,"difmax",71,1576558,0
1,0,0,0,1,2015,3,"difmax",73,1578117,0
0,0,0,0,0.5,2015,3,"difmax",73,1584957,0
0,0,0,0,0.5,2015,3,"difmax",67,1590448,0
0,0,0,0,0.5,2015,3,"difmax",74,1591636,0
0,0,0,0,0.5,2015,3,"difmax",73,1750897,0
0,0,0,0,0.5,2015,3,"difmax",75,1787658,0
0,0,0,0,0.5,2015,3,"difmax",72,1788190,0
0,0,0,0,0.5,2015,3,"difmax",72,1793705,0
3,0,0,0,1,2015,3,"difmax",72,1800413,0
0,0,0,0,0.5,2016,1,"difmax",16,865447,0
0,0,0,0,0.5,2016,1,"difmax",23,876304,0
1,1,1,0,2,2016,1,"difmax",68,877219,2
0,0,0,0,0.5,2016,1,"difmax",21,879606,0
2,2,1,0,2,2016,1,"difmax",71,1576558,4
2,2,1,1,2.5,2016,1,"difmax",73,1578117,5
0,0,0,0,0.5,2016,1,"difmax",73,1584957,0
3,2,2,1,2.5,2016,1,"difmax",67,1590448,5
1,1,0,0,1.5,2016,1,"difmax",74,1591636,1.5
2,2,2,1,2.5,2016,1,"difmax",73,1750897,5
2,1,1,0,2,2016,1,"difmax",75,1787658,2
1,1,0,0,1.5,2016,1,"difmax",72,1788190,1.5
4,2,2,0,2,2016,1,"difmax",72,1793705,4
1,1,1,1,2.5,2016,1,"difmax",72,1800413,2.5
2,1,0,0,1.5,2016,2,"difmax",16,865447,1.5
0,0,0,0,0.5,2016,2,"difmax",23,876304,0
2,2,0,0,1.5,2016,2,"difmax",68,877219,3
0,0,0,0,0.5,2016,2,"difmax",21,879606,0
2,2,2,1,2.5,2016,2,"difmax",71,1576558,5
2,2,1,1,2.5,2016,2,"difmax",73,1578117,5
3,3,2,1,2.5,2016,2,"difmax",73,1584957,7.5
0,0,0,0,0.5,2016,2,"difmax",67,1590448,0
2,1,0,0,1.5,2016,2,"difmax",74,1591636,1.5
4,3,2,0,2,2016,2,"difmax",73,1750897,6
3,2,1,0,2,2016,2,"difmax",75,1787658,4
2,1,0,0,1.5,2016,2,"difmax",72,1788190,1.5
3,2,1,0,2,2016,2,"difmax",72,1793705,4
2,1,1,1,2.5,2016,2,"difmax",72,1800413,2.5
1,1,0,0,1.5,2016,3,"difmax",16,865447,1.5
0,0,0,0,0.5,2016,3,"difmax",23,876304,0
0,0,0,0,0.5,2016,3,"difmax",68,877219,0
2,0,0,0,1,2016,3,"difmax",21,879606,0
0,0,0,0,0.5,2016,3,"difmax",71,1576558,0
2,1,1,1,2.5,2016,3,"difmax",73,1578117,2.5
0,0,0,0,0.5,2016,3,"difmax",73,1584957,0
1,1,1,0,2,2016,3,"difmax",67,1590448,2
1,1,1,0,2,2016,3,"difmax",74,1591636,2
1,0,0,0,1,2016,3,"difmax",73,1750897,0
1,0,0,0,1,2016,3,"difmax",75,1787658,0
0,0,0,0,0.5,2016,3,"difmax",72,1788190,0
1,1,0,0,1.5,2016,3,"difmax",72,1793705,1.5
0,0,0,0,0.5,2016,3,"difmax",72,1800413,0
1,1,0,0,1.5,2017,1,"difmax",16,865447,1.5
1,0,0,0,1,2017,1,"difmax",9,876228,0
1,0,0,0,1,2017,1,"difmax",9,876229,0
3,1,0,0,1.5,2017,1,"difmax",23,876304,1.5
1,0,0,0,1,2017,1,"difmax",68,877219,0
1,0,0,0,1,2017,1,"difmax",9,877724,0
3,2,1,0,2,2017,1,"difmax",21,879606,4
0,0,0,0,0.5,2017,1,"difmax",6,879844,0
2,2,2,1,2.5,2017,1,"difmax",71,1576558,5
0,0,0,0,0.5,2017,1,"difmax",73,1578117,0
2,2,2,2,2.5,2017,1,"difmax",73,1584957,5
