"threshold","jaar","variabelen","allvar","band","TP","FP","FN","TN"
"1","2015","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","1","4","1","1","0"
"1","2015","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","2","3","1","2","0"
"1","2015","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","3","5","1","0","0"
"1.5","2015","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","1","2","1","3","0"
"1.5","2015","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","2","3","1","2","0"
"1.5","2015","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","3","5","1","0","0"
"2","2015","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","1","0","1","5","0"
"2","2015","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","2","2","1","3","0"
"2","2015","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","3","3","1","2","0"
"2.5","2015","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","1","0","1","5","0"
"2.5","2015","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","2","1","1","4","0"
"2.5","2015","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","3","1","1","4","0"
"1","2016","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","1","5","4","0","0"
"1","2016","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","2","5","4","0","0"
"1","2016","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","3","5","4","0","0"
"1.5","2016","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","1","5","4","0","0"
"1.5","2016","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","2","5","3","0","1"
"1.5","2016","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","3","5","4","0","0"
"2","2016","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","1","5","4","0","0"
"2","2016","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","2","5","2","0","2"
"2","2016","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","3","4","3","1","1"
"2.5","2016","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","1","5","4","0","0"
"2.5","2016","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","2","4","1","1","3"
"2.5","2016","1_2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","3","4","1","1","3"
